ui,intervention,country,food_k,climate_k,beta,climate-food_k,food_choice,climate_choice
1C5EE33E-5236-4CF7-91F9-0F942BE168E4,4,Bulgaria,0.111356542980114,0.111444923894324,3.12961748410178,8.83809142105257e-05,1,1
97256E0E-2450-4B79-9296-00EA7E3A38C0,9,Bulgaria,0.107124979112381,0.132965214505135,2.39376874740318,0.0258402353927532,1,1
00607259-8F54-4526-899A-0EE7185CDD35,3,Bulgaria,0.1508576251982,0.38890091604568,1.44131406850805,0.23804329084748,0.916666666666667,1
1CAC2D42-9BC0-4223-A8C9-537EFE43FA50,8,Bulgaria,0.102468776952764,0.272469695546432,1.14182309434192,0.170000918593669,1,1
CEBD016F-9193-423E-A062-791FAB116588,8,Bulgaria,0.104669559269058,0.138314799428123,1.91638400262613,0.0336452401590649,1,1
3CB135F3-3FC2-4384-A153-92B7A156A8E1,10,Bulgaria,0.189070590127208,0.146667238077236,1.31202737568178,-0.0424033520499722,1,1
12EFEC23-EDF5-4B35-AAA0-4C4BB14815F5,11,Bulgaria,0.140486979151877,0.140979792669871,1.51103002846829,0.000492813517994017,1,0.916666666666667
5A3CEBCE-249A-46F7-BF78-B052F11F905C,6,Bulgaria,0.494396318155156,0.376075973039095,0.704666904739541,-0.118320345116061,0.5,0.583333333333333
CB0A262D-BB07-4022-A317-7A46BDB7033B,7,Bulgaria,0.130159327324033,0.176963780278954,1.1198244031285,0.0468044529549216,0.916666666666667,0.833333333333333
DCC8433F-3D55-4783-92A2-B4840BE9312C,10,Bulgaria,1.05845188797843,0.645761158245022,1.07003325249994,-0.41269072973341,0.0909090909090909,0.363636363636364
24DC61C6-83C0-4262-AE75-45C4C40BC1E2,1,Bulgaria,0.244973482114373,0.138367953949213,1.91887440018701,-0.10660552816516,0.909090909090909,0.916666666666667
03A6B8DF-42B0-447D-B74B-A12405DBA472,5,Bulgaria,0.111399472129455,0.11142739794173,3.12986171290562,2.79258122758419e-05,1,1
0D30FD27-0951-47D8-BA21-1F5570CFBF55,9,Bulgaria,0.293571679294086,0.5063645584312,1.66645822752706,0.212792879137114,0.75,0.583333333333333
0CA93E09-3E02-4851-B1A1-E9F3522F1222,7,Bulgaria,0.319863641657151,0.13632231493007,0.993531884343175,-0.183541326727081,0.7,0.909090909090909
C9769FF9-889C-45B1-AA2C-CC1755FBECCE,12,Bulgaria,0.115268129002712,0.16690150559953,1.18778210040231,0.0516333765968176,1,0.909090909090909
D4D0C65C-310B-43A6-8595-8DD602A36696,5,Bulgaria,0.166185576134171,0.13680349617536,1.84851849629705,-0.0293820799588109,0.916666666666667,0.916666666666667
